Seq,PassOrFail,Injection_Time,Filling_Time,Plasticizing_Time,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Max_Switch_Over_Pressure,Max_Back_Pressure,Hopper_Temperature
753,1,1.070000052,0.94255302,13.1325532,53.60765821,127.3489399,30.82552959,118.6510601,57.79999924,64.29575818
2710,1,9.571543178,4.461543447,16.91536963,68.83999634,55.48456576,30.68456623,136.6000061,37.26173831,67.20804051
5516,0,9.600000381,4.480000019,16.52000046,68.34999847,54.90000153,30.79999924,136.8999939,38.40000153,64.80000305
7610,0,1.059999943,0.930000007,12.97000027,53.58000183,128.3000031,30.89999962,116.3000031,55.90000153,66.59999847
4843,0,9.550000191,4.440000057,16.94000053,68.48999786,55.59999847,30.79999924,136.1999969,37.40000153,68.59999847
5514,0,1.059999943,0.939999998,12.96000004,53.56999969,128.1999969,30.79999924,116.3000031,55.79999924,66.5
1800,0,9.529999733,4.409999847,16.81999969,68.25,55.79999924,30.5,136,37.79999924,67.5
7278,1,9.595753269,4.477876463,16.91362941,68.83999634,55.3212348,30.75752932,136.7575335,37.52123475,67.01235383
6287,0,9.520000458,4.409999847,16.80999947,68.26000214,55.90000153,30.70000076,136.1999969,37.90000153,67.19999695
4447,1,1.059999943,0.930487015,12.94243463,53.57951472,128.3951243,30.99025979,115.8243535,55.90487154,65.91461156
1947,0,9.550000191,4.440000057,16.88999939,68.48999786,55.5,30.60000038,136.1999969,37.70000076,68
1245,1,1.070000052,0.949716289,13.13971664,53.6291499,127.2056711,30.89716261,118.7971659,57.79148828,63.66879378
5036,1,1.076890869,0.946890814,13.14378142,53.61378043,127.1932747,30.86890773,118.9445396,57.86890904,64.63781435
601,0,9.510000229,4.389999866,16.81999969,68.26000214,56,30.39999962,136.3999939,37.29999924,66.59999847
4167,0,9.590000153,4.46999979,16.57999992,68.36000061,55,30.70000076,136.3999939,37.79999924,65.09999847
2694,0,9.609999657,4.489999771,16.86000061,68.58999634,55.40000153,30.79999924,136.6999969,38.20000076,67.5
186,1,9.449999809,4.329999924,16.93994173,68.83999634,60.83372244,30.86686008,136.8668575,36.56511432,67.33139417
5235,0,9.590000153,4.46999979,16.60000038,68.33999634,55,30.79999924,136.8000031,38,65.09999847
1431,0,9.579999924,4.460000038,16.60000038,68.33999634,55.09999847,30.79999924,136.5,37.90000153,66.5
839,1,1.059999943,0.939999998,12.90714887,53.59000015,128.1238342,30.89999962,116.3761716,56.02850782,64.67149004
3364,1,10.26988425,5.159884431,16.62890215,68.59976981,48.03583881,30.8364169,140.2618495,57.864166,64.59075092
1910,0,1.059999943,0.939999998,12.88000011,53.61000061,128.1999969,30.79999924,116.4000015,56.29999924,64.80000305
6339,0,9.600000381,4.489999771,16.73999977,68.58000183,55.29999924,30.5,136.6000061,37.79999924,64.69999695
6176,0,9.579999924,4.460000038,16.62999916,68.34999847,55.20000076,31,136.3999939,37.79999924,65.19999695
6033,1,9.562539112,4.452538542,16.92253885,68.83999634,55.75768732,30.88307495,136.2592334,37.11692331,67.21847198
4302,0,9.619999886,4.5,16.82999992,68.58999634,55.29999924,30.70000076,136.8999939,38.29999924,65.59999847
1917,1,1.059999943,0.938688884,12.93393362,53.58737786,128.2131089,30.89999962,116.2606692,55.79999924,64.96555728
170,1,9.565199723,4.450399408,16.92000008,68.83999634,55.64400922,30.70000076,136.3599901,37.103994,67.29201199
6846,1,1.059999943,0.938204358,12.94256974,53.56179671,128.3179578,30.89999962,116.1640847,55.86408855,66.19999695
4741,0,9.569999695,4.449999809,16.95999908,68.84999847,55.59999847,30.60000038,136.3000031,36.79999924,66.59999847
6283,0,9.590000153,4.480000019,16.88999939,68.58000183,55.5,30.70000076,136.8000031,37.59999847,67.40000153
2509,1,1.059999943,0.937893539,12.93421312,53.58578713,128.2210628,30.87893493,116.3000031,55.79999924,65.08958335
3230,1,9.441130762,4.329999924,16.92113126,68.85773782,60.81131105,30.72262374,136.9886878,36.47737681,67
2019,0,9.510000229,4.400000095,17.09000015,68.48999786,56.5,30.79999924,136.1000061,37.90000153,69.80000305
5944,1,1.059999943,0.937979155,12.91010388,53.56999969,128.3000031,30.79999924,116.3000031,55.87979262,65.95958373
1935,1,9.59401747,4.477008564,16.91102571,68.83999634,55.32991379,30.74017184,136.7401762,37.52991341,67.09914176
6959,1,1.059999943,0.939999998,12.9183579,53.59000015,128.0054743,30.89452561,116.694523,56.38905352,63.24379259
6651,0,9.569999695,4.449999809,16.94000053,68.51000214,55.40000153,30.5,136.8999939,37.70000076,68.5
118,0,9.539999962,4.429999828,16.81999969,68.25,55.59999847,30.5,136.5,37.79999924,67.5
7779,0,1.059999943,0.930000007,12.90999985,53.56000137,128.3000031,30.79999924,116,55.90000153,66
4675,1,1.059999943,0.939999998,12.91492258,53.58644041,128.0644006,30.79999924,116.5999985,56.30681056,64.17801678
7027,0,9.600000381,4.480000019,16.57999992,68.33000183,54.90000153,30.79999924,137,38.09999847,65.40000153
3430,1,1.059999943,0.93840222,12.90639073,53.57159782,128.3000031,30.81597709,116.3000031,55.88402337,65.95206614
58,0,9.529999733,4.409999847,17.01000023,68.51000214,56.20000076,30.79999924,136.3000031,38.40000153,69
5369,0,9.539999962,4.420000076,17.04000092,68.48999786,56.20000076,31,136.6000061,38.5,69.5
3405,0,9.5,4.380000114,16.79999924,68.25,56.20000076,30.60000038,135.8000031,37,66.5
1109,0,9.619999886,4.5,16.89999962,68.58000183,55.20000076,30.60000038,137.3000031,38.20000076,67.80000305
6189,0,9.619999886,4.5,16.78000069,68.58000183,55.09999847,30.60000038,136.8999939,38.09999847,66.19999695
6358,1,1.059999943,0.933009488,12.90902828,53.58097207,128.3000031,30.83009419,116.1300929,56.10971647,66.61943218
1742,0,9.5,4.389999866,16.79999924,68.26000214,56.09999847,30.70000076,135.8000031,37.59999847,68
393,0,9.529999733,4.409999847,16.79000092,68.25,55.70000076,30.5,136.3999939,37.5,66.80000305
228,1,9.576204785,4.463102435,16.90930725,68.84689534,55.5,30.53102486,136.5310266,37.53102427,67.71385356
6278,0,1.059999943,0.939999998,12.92000008,53.59000015,128.1000061,30.79999924,116.5999985,56.29999924,65.80000305
5245,0,9.590000153,4.480000019,16.54999924,68.33999634,54.90000153,30.70000076,136.8999939,38.40000153,65.09999847
6805,0,9.510000229,4.400000095,16.76000023,68.26000214,55.79999924,30.60000038,135.8999939,37.40000153,66.40000153
7177,1,1.059999943,0.939999998,12.90286109,53.59000015,128.1321551,30.89999962,116.5713913,56.13923973,65.03569565
4437,1,1.059999943,0.937473534,12.93757964,53.56758046,128.3000031,30.87473486,116.1494684,55.9252658,66.14946839
6150,1,11.85037413,6.730374242,16.73103286,68.58999634,43.84817243,30.55690105,144.6741736,42.63784465,64.31896983
6748,1,1.080000043,0.949999988,13.1606617,53.61999893,127.1533069,30.89999962,119.0466901,57.90000153,64.16690707
5445,0,9.590000153,4.46999979,16.93000031,68.83999634,55.5,30.89999962,136.5,37.29999924,67.30000305
4046,1,1.059999943,0.939999998,12.89049782,53.59000015,128.0983477,30.80165752,116.6016567,56.20331734,63.98673376
5781,1,9.579074834,4.469074678,16.92953774,68.83999634,55.51387666,30.89999962,136.3907429,37.48149767,67.00462549
